title,rating,body,title_length,body_length,word_count,sentiment,full_review,clean_body,clean_word_count
Horrible product,1,Very disappointed with the overall performance from Samsung,16,59,8,Negative,Horrible product Very disappointed with the overall performance from Samsung,horrible product very disappointed overall performance samsung,7
Camera quality is not like 48 megapixel,3,Camera quality is low,39,21,4,Neutral,Camera quality is not like 48 megapixel Camera quality is low,camera quality not like megapixel camera quality low,8
Overall,4,"Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying",7,403,66,Positive,"Overall Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying",overall got mobile launch datebattery must appreciatedcamera averagemobile performance averagehz refresh rate u r buying mobile feature im afraid u may get disappointed normalthe usb cable too small lengthits good mobile budget no returns replacement available hence choose wisely buying,40
A big no from me,1,"1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.",16,377,67,Negative,"A big no from me 1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.",big no doesnt work ghz wifi frequency ghz very old school camera quality pathetic front back forget mp pictures blur poorer mp one amazon didnt allow write review sold stock something very fishy no return policy live phone didnt like decide,41
Put your money somewhere else,1,"Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE",29,179,29,Negative,"Put your money somewhere else Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE",put money somewhere else not worth buyingfaulty software poor display quality single band wifi doesnt support ghz wifi band gyro sensor missing many dont go paid reviews tube,28
Too much lagging and slow,1,I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,25,102,18,Negative,Too much lagging and slow I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,too much lagging slow never purchase samsung phones phone lagging too much slow waste hard earning money,17
Worst samsung mobile ever,1,This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,25,179,33,Negative,Worst samsung mobile ever This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,worst samsung mobile ever worst samsung mobile seen samsung sceen quality colors trash even old rs phone beat quality please never ever buy product,24
कैसा दिखाते है उसका 10 % भी नही,1,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,31,135,29,Negative,कैसा दिखाते है उसका 10 % भी नही मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,pm,1
Slow performance,1,The phone hangs a lot and is very slow. I received a replacement which continues to hang,16,88,17,Negative,Slow performance The phone hangs a lot and is very slow. I received a replacement which continues to hang,slow performance phone hangs lot very slow received replacement continues hang,11
Don’t buy from Amazon.,1,Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,22,187,28,Negative,Don’t buy from Amazon. Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,dont buy amazon very poor quality camera found box seal damage still amazon not taking backwaste moneyphone very slowdont buy amazonnow amazon started cheating customers make profits,27
Worst camera quality,1,"Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.",20,201,34,Negative,"Worst camera quality Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.",worst camera quality worst camera quality like megapixel camera photos very worst slightly zoom photo see blurrypreviously used megapixel amera phone photos very good,24
No 5Ghz wifi band,1,"No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy",17,146,30,Negative,"No 5Ghz wifi band No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy",no ghz wifi band no ghz wifi band mobile miserable even previous mobile samsung bought ghz wifi big comedy,19
Cheated,1,Don't received  handset ejection  pin  and manual.,7,50,7,Negative,Cheated Don't received  handset ejection  pin  and manual.,cheated dont received handset ejection pin manual,7
Dont buy samsung m12 mobile,1,very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon,27,147,22,Negative,Dont buy samsung m12 mobile very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon,dont buy samsung mobile very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool customer samsung amazon,22
Good one in this price segment.,5,Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.,31,229,42,Positive,Good one in this price segment. Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.,good one price segment unboxed phoneseems better one price segment nowjust checked camera voice seems good one thing very heavy weight may due batteryhope samsung lives upto expectation,28
Hitting issue,1,Hitting issue,13,13,2,Negative,Hitting issue Hitting issue,hitting issue hitting issue,4
Worst product with cheap quality material.,1,Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.,42,434,72,Negative,Worst product with cheap quality material. Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.,worst product cheap quality material worst product low quality never expected kind product samsung even though high end config doesnt look waycamera utterly disappointed never seen kind mobile recent past buy product bare no returnrefund option according return policy replacement disappoints even advising dont waste money product,47
Below average,1,"Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price.",13,294,52,Negative,"Below average Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price.",average good battery heating charging using mobile data camera average mp true looks like mp heavy weight thickness okay mah display not good phones rage terms technology display ratio overall average price,32
"RUBBISH PHONE, WANT MY MONEY BACK",1,"PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK",33,241,40,Negative,"RUBBISH PHONE, WANT MY MONEY BACK PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK",rubbish phone want money back phone total rubbish slowest respond camera not good abruptly closes youtube applications itselfand phone utter waste camera quality badnot happy producti want money back,29
Perfect phone with this price,5,"This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company.",29,153,26,Positive,"Perfect phone with this price This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company.",perfect phone price perfect phone good speed decent specs outstanding battery life look device also attractive trust company,18
Not recommended for Jiofiber users,1,"Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI.",34,420,66,Negative,"Not recommended for Jiofiber users Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI.",not recommended jiofiber users very disappointing samsung manufactured ghz support mobile cost newer days value mobiles also supporting dual bandi purchased samsung mobile support ghz band manufactured mobile not support dual band very shamefulthis cheating amazon not mentioned details product suggesting dont buy using jiofiber wifi,46
Very poor performance,1,Dislike,21,7,1,Negative,Very poor performance Dislike,very poor performance dislike,4
Very bad self camera,1,Self camera is just like 2 mega pixels.,20,39,8,Negative,Very bad self camera Self camera is just like 2 mega pixels.,very bad self camera self camera like mega pixels,9
"Not So impressive,okay okay.Little over price",3,"The media could not be loaded.
                




   #m12,#m12unboxing,#samsungm12 ,#unboxing ,#Samsung, #Galaxy, #M12,#SamsungGalaxyM12M12 unboxing videoNot so impressive Mobile from Samsung, currently direct compete with LGK42, Moto G30/G10To All people who want to purchase mobile DO NOT go on Mobile Marketing and Actors endorsing Mobile.:Remember 5G is coming hence you are getting so much discount on all 4G mobile. Mobile manufacturers are clearing stocks, Need to inform 5G mobile support 4G band but all 4G mobile will not support 5G.Take example, if you purchase 20,0000 mobile today, after 20 months you may need to change to 5G mobile hence it will cost you 1000 per month (costing matters) and you will not get High exchange value (not even 50% cost), Currently 5G yet to come in India, may be yearend or come will be high cost.Points to Remember while purchasing Mobile:1) Mobile band support, Dual Wi-fi Support is better.2) Graphics PPI matter hence check PPI value of mobile. It directly related to Mobile display and colour quality, Higher is better.3) Check Mobile camera F value (lower value, higher picture quality) if less than 1.8 is best. Mostly camera quality depends on Focal Value not on pixel4) Android upgrade support. This is important as your mobile will useless within 2 years, remember you don’t want any mobile who cannot upgrade to Android 11.5) Item Weight and height of mobile. Lower is better, it really matter as you will get pain while holding mobile for long time, specially  old people.6) Mobile resolution, Higher is better7) screen refresh rate, Higher is better8) Clean Android installation. This is also important as manufacturers cannot force you to install or retain any app.M12 /Pro6000 battery (not fully tested yet)Android 11, v11.0 operating system, One UI 3.1with 8nm Power Efficient Exynos850 (Octa Core 2.0GHz)90Hz screen refresh rateSamsung Brand (Non-Chinese)Galaxy Store supportDolby Atmos support. Currently Audio testing is going onM12 Cons720p screen resolutionNo AR support, ARcore Absentresolution with 720 x 1600 pixels resolution, low Graphics PPI 269 PPI with 16M colours221 Grams Dimensions 1 x 7.6 x 16.4 cmLCDpre-installed Bloatware some of cannot uninstalled but need to disablehigher Mobile F value (F 2.0)No headphones, no backcover ,no extra accessories.Uodate after three days:Battery still going on at 15% with 1 hour daily voice call , some whatsapp  and mostly standby.So it is power monster in battery category",45,2490,385,Neutral,"Not So impressive,okay okay.Little over price The media could not be loaded.
                




   #m12,#m12unboxing,#samsungm12 ,#unboxing ,#Samsung, #Galaxy, #M12,#SamsungGalaxyM12M12 unboxing videoNot so impressive Mobile from Samsung, currently direct compete with LGK42, Moto G30/G10To All people who want to purchase mobile DO NOT go on Mobile Marketing and Actors endorsing Mobile.:Remember 5G is coming hence you are getting so much discount on all 4G mobile. Mobile manufacturers are clearing stocks, Need to inform 5G mobile support 4G band but all 4G mobile will not support 5G.Take example, if you purchase 20,0000 mobile today, after 20 months you may need to change to 5G mobile hence it will cost you 1000 per month (costing matters) and you will not get High exchange value (not even 50% cost), Currently 5G yet to come in India, may be yearend or come will be high cost.Points to Remember while purchasing Mobile:1) Mobile band support, Dual Wi-fi Support is better.2) Graphics PPI matter hence check PPI value of mobile. It directly related to Mobile display and colour quality, Higher is better.3) Check Mobile camera F value (lower value, higher picture quality) if less than 1.8 is best. Mostly camera quality depends on Focal Value not on pixel4) Android upgrade support. This is important as your mobile will useless within 2 years, remember you don’t want any mobile who cannot upgrade to Android 11.5) Item Weight and height of mobile. Lower is better, it really matter as you will get pain while holding mobile for long time, specially  old people.6) Mobile resolution, Higher is better7) screen refresh rate, Higher is better8) Clean Android installation. This is also important as manufacturers cannot force you to install or retain any app.M12 /Pro6000 battery (not fully tested yet)Android 11, v11.0 operating system, One UI 3.1with 8nm Power Efficient Exynos850 (Octa Core 2.0GHz)90Hz screen refresh rateSamsung Brand (Non-Chinese)Galaxy Store supportDolby Atmos support. Currently Audio testing is going onM12 Cons720p screen resolutionNo AR support, ARcore Absentresolution with 720 x 1600 pixels resolution, low Graphics PPI 269 PPI with 16M colours221 Grams Dimensions 1 x 7.6 x 16.4 cmLCDpre-installed Bloatware some of cannot uninstalled but need to disablehigher Mobile F value (F 2.0)No headphones, no backcover ,no extra accessories.Uodate after three days:Battery still going on at 15% with 1 hour daily voice call , some whatsapp  and mostly standby.So it is power monster in battery category",not impressiveokay okaylittle price media could not loaded mmunboxingsamsungm unboxing samsung galaxy msamsunggalaxymm unboxing videonot impressive mobile samsung currently direct compete lgk moto ggto people want purchase mobile not go mobile marketing actors endorsing mobileremember g coming hence getting much discount g mobile mobile manufacturers clearing stocks need inform g mobile support g band g mobile not support gtake example purchase mobile today months may need change g mobile hence cost per month costing matters not get high exchange value not even cost currently g yet come india may yearend come high costpoints remember purchasing mobile mobile band support dual wifi support better graphics ppi matter hence check ppi value mobile directly related mobile display colour quality higher better check mobile camera f value lower value higher picture quality less best mostly camera quality depends focal value not pixel android upgrade support important mobile useless within years remember dont want mobile cannot upgrade android item weight height mobile lower better really matter get pain holding mobile long time specially old people mobile resolution higher better screen refresh rate higher better clean android installation also important manufacturers cannot force install retain appm pro battery not fully tested yetandroid v operating system one ui nm power efficient exynos octa core ghzhz screen refresh ratesamsung brand nonchinesegalaxy store supportdolby atmos support currently audio testing going onm consp screen resolutionno ar support arcore absentresolution x pixels resolution low graphics ppi ppi colours grams dimensions x x cmlcdpreinstalled bloatware cannot uninstalled need disablehigher mobile f value f no headphones no backcover no extra accessoriesuodate three daysbattery still going hour daily voice call whatsapp mostly standbyso power monster battery category,274
Not a good budget phone,2,"Product specifications are not at par..Display is below average.Camera quality is just okay..It doesnt support 5ghz wifi, which is not mentioned anywhere so please make sure before buying..",23,189,28,Negative,"Not a good budget phone Product specifications are not at par..Display is below average.Camera quality is just okay..It doesnt support 5ghz wifi, which is not mentioned anywhere so please make sure before buying..",not good budget phone product specifications not pardisplay averagecamera quality okayit doesnt support ghz wifi not mentioned anywhere please make sure buying,22
Samsung UI/UX is the worst,1,"The user experience is pathetic on these cheap phones. Its filled to the brim with bloatware that you can't remove.You're better off getting the Mi phones as they have a far better UIAlso, I can't return this garbage of a phone as Samsung don't list this as a software issue.I'll have to look into installing lineage os and de-google this phone before using it but that's easier said than done.",26,394,70,Negative,"Samsung UI/UX is the worst The user experience is pathetic on these cheap phones. Its filled to the brim with bloatware that you can't remove.You're better off getting the Mi phones as they have a far better UIAlso, I can't return this garbage of a phone as Samsung don't list this as a software issue.I'll have to look into installing lineage os and de-google this phone before using it but that's easier said than done.",samsung uiux worst user experience pathetic cheap phones filled brim bloatware cant removeyoure better getting mi phones far better uialso cant return garbage phone samsung dont list software issueill look installing lineage os degoogle phone using thats easier said done,40
Poor from Samsung,1,Just for name sake Cam & Battery are 48mp & 6000mah. But coming to reality it is poor. The weight of the phone also almost 250gm so it is not a smart phone it is a hard phone. And the top menu bar beside front cam is not responding sometimes.,17,242,50,Negative,Poor from Samsung Just for name sake Cam & Battery are 48mp & 6000mah. But coming to reality it is poor. The weight of the phone also almost 250gm so it is not a smart phone it is a hard phone. And the top menu bar beside front cam is not responding sometimes.,poor samsung name sake cam battery mp mah coming reality poor weight phone also almost gm not smart phone hard phone top menu bar beside front cam not responding sometimes,30
Horrible product from samsung,1,Horrible product,29,16,2,Negative,Horrible product from samsung Horrible product,horrible product samsung horrible product,5
It's a budget package. A good phone to buy in the ₹ 10k bracket.,5,"A very satisfying  experience with the device so  far.Pros:1. Long battery life-  I am a moderate  user who does everything  except gaming. That said , the battery lasts up to 2 full days.2. Decent cameras for the price. Pictures are satisfactory but could be better.3. Very responsive finger print sensor.4. Good sound quality, although dolby's impact  is not much pronounced5. UI is great and snappy. Lots of customization options.6. The display is good and smooth with 90hz refresh rate. It does make the difference.7. Fast charging works fine.Cons:1. The weight of the phone is on the heavier side @ 220 gms2. The display could have been a full HD+ @ 1080p3. No led notification light. All though there are apps that can do the job on an AMOLED screen.Overall, a good package.",64,780,132,Positive,"It's a budget package. A good phone to buy in the ₹ 10k bracket. A very satisfying  experience with the device so  far.Pros:1. Long battery life-  I am a moderate  user who does everything  except gaming. That said , the battery lasts up to 2 full days.2. Decent cameras for the price. Pictures are satisfactory but could be better.3. Very responsive finger print sensor.4. Good sound quality, although dolby's impact  is not much pronounced5. UI is great and snappy. Lots of customization options.6. The display is good and smooth with 90hz refresh rate. It does make the difference.7. Fast charging works fine.Cons:1. The weight of the phone is on the heavier side @ 220 gms2. The display could have been a full HD+ @ 1080p3. No led notification light. All though there are apps that can do the job on an AMOLED screen.Overall, a good package.",budget package good phone buy k bracket very satisfying experience device farpros long battery life moderate user everything except gaming said battery lasts full days decent cameras price pictures satisfactory could better very responsive finger print sensor good sound quality although dolbys impact not much pronounced ui great snappy lots customization options display good smooth hz refresh rate make difference fast charging works finecons weight phone heavier side gms display could full hd p no led notification light though apps job amoled screenoverall good package,85
Disappointed,1,"Not a good mobile.Quite heavy in weight, you will obviously feel it. Weight is 220 gms which is far exceeding acceptable range. Can definitely be used as paperweight.Nothing special in screen, processor or camera also.Just a marketing gimmick by samsung.Stay away.. At 13.5k we deserve far better than this.",12,307,49,Negative,"Disappointed Not a good mobile.Quite heavy in weight, you will obviously feel it. Weight is 220 gms which is far exceeding acceptable range. Can definitely be used as paperweight.Nothing special in screen, processor or camera also.Just a marketing gimmick by samsung.Stay away.. At 13.5k we deserve far better than this.",disappointed not good mobilequite heavy weight obviously feel weight gms far exceeding acceptable range definitely used paperweightnothing special screen processor camera alsojust marketing gimmick samsungstay away k deserve far better,30
